DATE,GBP/USD Fair value
2017-07-21,75.76296407876909
2017-07-24,75.37587980724099
2017-07-25,75.34653686157289
2017-07-26,75.18864882488843
2017-07-27,74.963456308782
2017-07-28,74.99031754842399
2017-07-31,75.23748522549106
2017-08-01,75.21581410745488
2017-08-02,75.17372135736305
2017-08-03,75.1326690304245
2017-08-04,75.4470553367254
2017-08-07,75.7144521376968
2017-08-08,75.97235148849813
2017-08-09,76.46397843798105
2017-08-10,76.77091133521812
2017-08-11,76.83427134992897
2017-08-14,76.76136415384342
2017-08-15,76.85692622378944
2017-08-16,76.76898367225374
2017-08-17,76.70091906287637
2017-08-18,76.66106388461117
2017-08-21,76.72851884018623
2017-08-22,76.69615406700635
2017-08-23,76.58801838386437
2017-08-24,76.6733087948322
2017-08-25,77.04207229412204
2017-08-28,77.38354574020978
2017-08-29,77.44515230783304
2017-08-30,77.54652973243847
2017-08-31,77.2546687943696
2017-09-01,76.7701568926163
2017-09-04,76.55142388588253
2017-09-05,76.54366750920977
2017-09-06,76.39231246197976
2017-09-07,76.54753762533318
2017-09-08,76.76688145871638
2017-09-11,76.75357834842806
2017-09-12,76.68945248745659
2017-09-13,76.64235254132231
2017-09-14,76.07964521797737
2017-09-15,75.1690365540056
2017-09-18,74.31556360090782
2017-09-19,73.52561492412393
2017-09-20,72.88822950034314
2017-09-21,72.66527542451725
2017-09-22,72.91281089698055
2017-09-25,73.27329774116576
2017-09-26,73.48936851782014
2017-09-27,73.5579988445271
2017-09-28,73.459479270442
2017-09-29,73.24493783035504
2017-10-02,73.03977634499677
2017-10-03,73.03660518507351
2017-10-04,72.94397006099886
2017-10-05,72.92521355458697
2017-10-06,72.91959034852435
2017-10-09,72.81829993334135
2017-10-10,72.83496120801088
2017-10-11,73.03712844288326
2017-10-12,73.30562867564589
2017-10-13,73.51322582080685
2017-10-16,73.6688972743815
2017-10-17,73.71137117277091
2017-10-18,73.88205336475255
2017-10-19,73.91795063783456
2017-10-20,73.89613055579332
2017-10-23,74.12967614899816
2017-10-24,74.52525874653027
2017-10-25,74.72147734376831
2017-10-26,75.46291319212305
2017-10-27,76.51725241067854
2017-10-30,77.30644654126537
2017-10-31,77.82952344093162
2017-11-01,78.4132893074062
2017-11-02,78.73908478384271
2017-11-03,78.55984183715856
2017-11-06,78.45513985522145
2017-11-07,78.39949244614265
2017-11-08,78.33842742341757
2017-11-09,78.11461782040787
2017-11-10,77.87784750614675
2017-11-13,77.40138408756285
2017-11-14,76.93938221772797
2017-11-15,76.50215355929298
2017-11-16,75.8761992943722
2017-11-17,75.33254435016654
2017-11-20,75.09388684276692
2017-11-21,74.82771338840692
2017-11-22,74.54970954552658
2017-11-23,74.36532245092958
2017-11-24,74.45988222858612
2017-11-27,74.47238403237908
2017-11-28,74.50566692377109
2017-11-29,74.32557471662103
2017-11-30,74.02632595307092
2017-12-01,73.65858670033003
2017-12-04,73.36548752993912
2017-12-05,73.08374464430717
2017-12-06,73.23277185830558
2017-12-07,73.45559867440065
2017-12-08,73.7558870363463
2017-12-11,74.10298462625578
2017-12-12,74.64635130315409
2017-12-13,74.95785486250585
2017-12-14,75.00889516514582
2017-12-15,74.93698547408522
2017-12-18,74.8540409801379
2017-12-19,74.79690010172266
2017-12-20,74.6122939181087
2017-12-21,75.00579366339768
2017-12-22,75.52561115767882
2017-12-25,75.85801030544658
2017-12-26,75.93582836996049
2017-12-27,76.19502960245563
2017-12-28,76.42211337079273
2017-12-29,76.65767918290295
2018-01-01,77.06160566096312
